project_id,project_name,district,project_type,total_acres,land_acquired_pct,approval_days_pending,compensation_disbursed_pct,legal_cases_count,ownership_disputes,rnp_progress_pct,possession_pct,affected_families,doc_deficiency_score,historical_district_delay_avg,delay_label,actual_delay_days,intervention_taken,intervention_date
1,Nashik Railway Project #1,Nashik,Railway,623.6,94.6,84,84.6,10,5,73.8,31.5,307,0.959,71.8,0,11,,
2,Aurangabad Metro Project #2,Aurangabad,Metro,334.0,36.4,71,63.6,7,13,71.0,17.6,454,0.21,116.8,0,7,,
3,Nagpur Irrigation Project #3,Nagpur,Irrigation,440.3,47.4,38,93.6,10,10,75.3,77.0,114,0.759,128.8,0,10,,
4,Aurangabad Railway Project #4,Aurangabad,Railway,256.8,80.8,8,50.1,4,12,69.4,57.6,647,0.675,101.9,0,10,,
5,Aurangabad Railway Project #5,Aurangabad,Railway,967.7,59.1,87,98.5,10,12,78.4,49.8,308,0.303,117.5,0,14,,
6,Pune Metro Project #6,Pune,Metro,174.1,59.2,94,36.7,9,15,27.3,21.7,77,0.458,106.7,1,149,,
7,Nagpur Highway Project #7,Nagpur,Highway,403.2,14.8,24,31.6,12,11,26.0,47.3,547,0.143,128.8,1,28,,
8,Nagpur Irrigation Project #8,Nagpur,Irrigation,74.5,45.9,16,67.4,5,13,42.6,83.6,682,0.921,135.4,0,9,,
9,Nagpur Irrigation Project #9,Nagpur,Irrigation,260.7,34.4,41,44.0,4,15,86.6,62.3,629,0.968,94.2,1,48,,
10,Aurangabad Highway Project #10,Aurangabad,Highway,791.4,99.9,28,66.4,1,5,74.3,18.2,605,0.732,116.0,0,2,,
11,Nashik Highway Project #11,Nashik,Highway,241.1,37.8,59,37.4,9,8,61.0,39.9,50,0.849,72.6,1,141,,
12,Nagpur Highway Project #12,Nagpur,Highway,126.1,89.6,66,65.6,9,0,11.8,98.2,209,0.083,130.3,0,0,,
13,Aurangabad Metro Project #13,Aurangabad,Metro,500.7,70.9,84,34.8,5,13,31.2,59.0,557,0.384,98.7,1,77,,
14,Pune Metro Project #14,Pune,Metro,59.5,40.7,56,14.6,6,3,82.3,35.8,384,0.331,84.9,1,56,,
15,Nashik Irrigation Project #15,Nashik,Irrigation,130.5,58.9,71,92.1,2,15,31.8,92.2,415,0.565,79.0,0,4,,
16,Pune Metro Project #16,Pune,Metro,817.2,85.6,13,89.5,2,9,75.7,40.2,243,0.183,79.4,0,13,,
