project_id,project_name,district,project_type,total_acres,land_acquired_pct,approval_days_pending,compensation_disbursed_pct,legal_cases_count,ownership_disputes,rnp_progress_pct,possession_pct,affected_families,doc_deficiency_score,historical_district_delay_avg,delay_label,actual_delay_days,intervention_taken,intervention_date
5001,Nashik Irrigation Project #5001,Nashik,Irrigation,108.1,33.3,75,87.3,9,4,27.6,77.8,351,0.884,73.4,0,,,
5002,Aurangabad Metro Project #5002,Aurangabad,Metro,359.4,29.8,57,36.9,3,6,85.2,58.4,495,0.066,100.1,1,,,
5003,Nagpur Irrigation Project #5003,Nagpur,Irrigation,640.2,77.7,117,35.6,0,1,89.0,92.9,500,0.716,125.0,0,,,
5004,Mumbai Irrigation Project #5004,Mumbai,Irrigation,880.0,68.5,38,70.2,1,14,40.7,16.6,683,0.524,176.8,0,,,
5005,Pune Metro Project #5005,Pune,Metro,601.4,15.6,58,10.3,2,5,62.6,42.6,715,0.338,82.7,0,,,
5006,Nagpur Metro Project #5006,Nagpur,Metro,126.0,91.6,116,78.3,2,4,87.5,13.9,431,0.903,118.1,0,,,
5007,Aurangabad Highway Project #5007,Aurangabad,Highway,883.7,44.0,27,77.0,6,4,68.5,84.9,87,0.947,113.0,0,,,
5008,Nashik Highway Project #5008,Nashik,Highway,990.1,15.2,79,15.7,11,11,57.8,59.1,486,0.911,62.8,1,,,
5009,Aurangabad Irrigation Project #5009,Aurangabad,Irrigation,148.8,81.0,104,11.5,8,0,27.9,87.3,510,0.59,118.0,1,,,
5010,Nagpur Highway Project #5010,Nagpur,Highway,368.2,40.2,60,56.4,11,2,86.1,16.2,21,0.076,125.4,0,,,
5011,Nagpur Irrigation Project #5011,Nagpur,Irrigation,255.4,36.2,22,36.2,12,7,40.5,85.4,291,0.888,123.7,1,,,
5012,Nashik Irrigation Project #5012,Nashik,Irrigation,863.4,41.6,50,68.6,7,11,15.1,37.2,402,0.212,48.1,0,,,
5013,Nagpur Metro Project #5013,Nagpur,Metro,245.7,84.1,117,43.2,1,6,33.6,69.7,767,0.558,111.5,0,,,
5014,Nashik Highway Project #5014,Nashik,Highway,620.9,25.0,8,25.9,8,9,28.0,95.0,613,0.693,63.1,1,,,
5015,Nagpur Railway Project #5015,Nagpur,Railway,831.9,84.9,100,46.8,6,0,35.0,47.4,549,0.427,122.4,1,,,
5016,Aurangabad Highway Project #5016,Aurangabad,Highway,852.1,94.9,114,49.6,4,3,66.7,79.2,110,0.193,101.8,1,,,
5017,Nashik Railway Project #5017,Nashik,Railway,709.7,79.9,59,58.1,1,6,63.3,22.0,662,0.49,76.8,0,,,
5018,Nashik Highway Project #5018,Nashik,Highway,861.9,66.9,25,14.7,2,15,42.0,53.5,178,0.787,90.1,0,,,
5019,Mumbai Irrigation Project #5019,Mumbai,Irrigation,135.0,28.3,56,75.1,4,0,34.1,43.6,675,0.798,144.7,0,,,
5020,Nagpur Metro Project #5020,Nagpur,Metro,495.9,85.0,51,74.3,2,13,15.4,95.8,405,0.772,113.8,0,,,
5021,Aurangabad Railway Project #5021,Aurangabad,Railway,405.0,20.9,110,97.6,6,11,99.8,19.3,288,0.834,93.0,0,,,
5022,Pune Railway Project #5022,Pune,Railway,646.0,39.6,45,80.0,10,13,50.0,28.2,732,0.206,88.0,0,,,
5023,Nashik Metro Project #5023,Nashik,Metro,191.6,25.0,75,70.3,7,13,74.4,86.9,735,0.998,54.1,0,,,
5024,Mumbai Irrigation Project #5024,Mumbai,Irrigation,375.5,43.2,1,59.8,12,6,63.1,69.5,785,0.299,160.6,0,,,
5025,Pune Railway Project #5025,Pune,Railway,672.2,93.0,54,52.4,12,15,66.5,60.4,741,0.905,89.8,0,,,
5026,Pune Railway Project #5026,Pune,Railway,590.9,74.2,14,80.4,2,14,62.0,87.8,571,0.799,91.1,0,,,
5027,Nagpur Highway Project #5027,Nagpur,Highway,431.4,66.3,59,46.6,7,3,84.4,44.4,54,0.422,125.0,1,,,
5028,Mumbai Metro Project #5028,Mumbai,Metro,168.3,59.9,10,32.5,11,15,80.3,12.0,790,0.087,149.1,1,,,
5029,Mumbai Irrigation Project #5029,Mumbai,Irrigation,957.5,92.5,80,42.0,12,0,40.4,57.8,346,0.82,164.5,1,,,
5030,Aurangabad Railway Project #5030,Aurangabad,Railway,75.8,70.4,51,65.8,6,4,83.5,62.1,712,0.423,98.5,0,,,
5031,Mumbai Highway Project #5031,Mumbai,Highway,171.8,14.6,70,60.2,9,2,87.6,73.2,143,0.899,140.4,0,,,
5032,Pune Railway Project #5032,Pune,Railway,772.9,47.1,49,35.7,10,13,61.1,49.4,614,0.349,95.5,1,,,
5033,Aurangabad Irrigation Project #5033,Aurangabad,Irrigation,458.1,89.5,6,94.2,11,9,84.8,26.9,122,0.483,92.6,0,,,
5034,Nashik Railway Project #5034,Nashik,Railway,380.3,24.4,91,80.0,11,11,21.4,78.9,328,0.706,63.8,0,,,
5035,Mumbai Metro Project #5035,Mumbai,Metro,751.6,71.9,105,99.3,5,8,64.4,34.7,24,0.184,145.3,0,,,
5036,Aurangabad Irrigation Project #5036,Aurangabad,Irrigation,209.7,82.9,114,70.4,6,1,95.1,25.9,453,0.156,105.1,0,,,
5037,Nagpur Highway Project #5037,Nagpur,Highway,191.3,60.8,93,98.7,2,7,91.0,45.7,308,0.542,124.7,0,,,
5038,Aurangabad Irrigation Project #5038,Aurangabad,Irrigation,438.6,87.5,83,80.0,3,9,98.1,11.7,296,0.443,106.3,0,,,
5039,Nashik Metro Project #5039,Nashik,Metro,921.7,73.4,19,15.6,11,8,38.8,86.9,221,0.775,76.3,1,,,
5040,Pune Highway Project #5040,Pune,Highway,277.0,33.8,73,18.1,5,9,70.3,90.6,129,0.715,96.7,1,,,
5041,Mumbai Metro Project #5041,Mumbai,Metro,874.1,87.9,66,84.5,3,10,17.6,28.8,278,0.098,133.8,0,,,
5042,Aurangabad Highway Project #5042,Aurangabad,Highway,195.8,24.0,32,30.0,5,11,35.5,44.9,219,0.373,113.0,1,,,
5043,Nashik Metro Project #5043,Nashik,Metro,403.1,75.6,89,40.6,5,8,21.3,42.9,775,0.766,75.5,1,,,
5044,Nagpur Railway Project #5044,Nagpur,Railway,573.0,27.6,7,11.8,9,3,25.0,25.1,358,0.575,101.7,1,,,
5045,Nashik Irrigation Project #5045,Nashik,Irrigation,314.3,92.3,75,12.1,10,14,40.9,76.4,625,0.694,59.7,1,,,
5046,Nagpur Metro Project #5046,Nagpur,Metro,775.4,67.9,50,67.8,7,12,70.9,65.9,582,0.63,128.2,0,,,
5047,Aurangabad Metro Project #5047,Aurangabad,Metro,681.5,36.6,21,35.9,11,3,65.2,25.5,755,0.045,99.4,1,,,
5048,Pune Highway Project #5048,Pune,Highway,115.7,95.2,46,96.0,4,3,66.8,66.3,560,0.296,76.9,0,,,
5049,Aurangabad Railway Project #5049,Aurangabad,Railway,896.5,54.7,46,18.3,5,5,74.0,73.7,272,0.488,95.1,1,,,
5050,Aurangabad Highway Project #5050,Aurangabad,Highway,426.9,10.8,76,33.6,5,1,36.2,63.3,782,0.291,97.6,1,,,
5051,Nashik Highway Project #5051,Nashik,Highway,804.1,47.5,97,55.7,1,0,68.7,74.0,546,0.941,74.8,0,,,
5052,Nashik Irrigation Project #5052,Nashik,Irrigation,737.8,16.6,102,33.4,11,1,40.1,83.9,201,0.454,57.7,1,,,
5053,Nagpur Irrigation Project #5053,Nagpur,Irrigation,784.3,29.2,82,73.8,10,3,95.0,49.1,148,0.135,120.6,0,,,
5054,Nashik Highway Project #5054,Nashik,Highway,645.3,95.5,54,77.1,2,14,30.1,15.6,238,0.094,66.6,0,,,
5055,Nashik Railway Project #5055,Nashik,Railway,461.6,33.9,79,89.0,10,15,34.1,94.8,693,0.324,63.7,0,,,
5056,Aurangabad Irrigation Project #5056,Aurangabad,Irrigation,220.5,49.8,17,45.9,5,4,48.5,37.9,91,0.76,104.9,1,,,
5057,Mumbai Irrigation Project #5057,Mumbai,Irrigation,227.9,57.6,72,65.3,12,8,68.9,70.7,156,0.308,145.3,0,,,
5058,Nashik Metro Project #5058,Nashik,Metro,316.8,73.8,34,22.5,6,9,11.8,52.8,141,0.799,72.1,1,,,
5059,Nagpur Irrigation Project #5059,Nagpur,Irrigation,559.7,20.6,115,97.0,0,5,15.2,93.1,285,0.913,131.3,0,,,
5060,Nashik Railway Project #5060,Nashik,Railway,277.9,89.7,13,65.2,1,2,42.4,49.6,230,0.973,57.0,0,,,
5061,Nagpur Metro Project #5061,Nagpur,Metro,990.3,80.8,72,37.3,1,12,82.6,80.0,257,0.166,95.2,0,,,
5062,Pune Highway Project #5062,Pune,Highway,816.9,34.1,18,43.2,2,7,84.7,22.3,452,0.206,106.3,0,,,
5063,Nashik Highway Project #5063,Nashik,Highway,492.9,62.9,8,41.2,1,4,54.6,17.6,283,0.025,67.1,0,,,
5064,Nagpur Metro Project #5064,Nagpur,Metro,340.1,66.9,25,17.0,10,4,88.2,89.8,114,0.93,119.3,1,,,
5065,Nagpur Highway Project #5065,Nagpur,Highway,708.7,60.3,63,11.8,0,0,90.5,91.1,748,0.64,119.1,0,,,
5066,Aurangabad Metro Project #5066,Aurangabad,Metro,354.8,29.4,78,43.6,6,0,48.2,35.1,744,0.938,110.9,1,,,
5067,Nagpur Highway Project #5067,Nagpur,Highway,974.3,22.6,26,29.7,9,7,82.4,97.7,149,0.998,127.0,1,,,
5068,Mumbai Railway Project #5068,Mumbai,Railway,900.3,94.9,111,66.0,6,14,34.4,71.3,697,0.034,150.7,0,,,
5069,Nagpur Metro Project #5069,Nagpur,Metro,837.3,56.0,58,34.3,2,10,35.1,76.6,231,0.504,125.6,0,,,
5070,Aurangabad Metro Project #5070,Aurangabad,Metro,63.4,87.2,108,11.6,5,4,25.8,14.0,418,0.083,113.9,1,,,
5071,Nagpur Metro Project #5071,Nagpur,Metro,443.5,46.4,2,33.1,3,11,49.9,74.8,307,0.412,128.6,1,,,
5072,Mumbai Highway Project #5072,Mumbai,Highway,517.8,67.4,37,57.4,6,12,27.2,94.5,516,0.325,146.1,0,,,
5073,Pune Irrigation Project #5073,Pune,Irrigation,813.5,49.6,89,67.5,11,1,13.2,23.7,667,0.729,91.0,0,,,
